first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,full_name
Petr,Cech,0,0,24,585,9,0.0,205.0,0.0,3,130,20.4,1,0,0,1.1,47,Petr Cech
Bernd,Leno,0,0,106,2835,42,0.0,807.2,0.0,5,568,80.5,6,0,0,4.0,49,Bernd Leno
Laurent,Koscielny,3,0,62,1329,23,29.5,456.4,105.0,8,319,59.1,3,0,1,0.9,54,Laurent Koscielny
Héctor,Bellerín,0,5,60,1532,21,197.8,261.6,280.0,5,304,73.7,4,0,3,4.5,53,Hector Bellerin
Nacho,Monreal,1,4,77,1860,24,196.6,413.2,224.0,7,392,83.4,5,0,5,1.3,54,Nacho Monreal
Rob,Holding,0,0,24,806,10,28.7,187.8,14.0,5,148,23.2,1,0,1,0.4,43,Rob Holding
Shkodran,Mustafi,2,0,80,2611,40,106.0,718.6,252.0,5,475,107.8,6,0,9,1.3,54,Shkodran Mustafi
Sead,Kolasinac,0,7,81,1886,29,445.9,323.2,242.0,10,382,101.0,5,0,5,5.4,49,Sead Kolasinac
Stephan,Lichtsteiner,0,0,14,935,18,61.1,113.0,23.0,0,89,20.0,0,0,3,0.8,45,Stephan Lichtsteiner
Sokratis,Papastathopoulos,1,2,64,2198,33,67.9,513.8,120.0,4,402,70.4,5,0,12,1.2,51,Sokratis Papastathopoulos
Mesut,Özil,5,3,89,1732,24,714.2,429.6,254.0,9,363,140.0,5,0,2,2.6,79,Mesut Ozil
Aaron,Ramsey,4,6,91,1319,13,387.2,418.4,502.0,4,298,131.0,9,0,0,0.9,71,Aaron Ramsey
Alex,Iwobi,3,8,99,1961,32,596.7,469.0,646.0,3,382,171.1,4,0,0,1.5,54,Alex Iwobi
Granit,Xhaka,4,3,90,2498,37,674.0,634.6,215.0,8,452,152.6,7,0,10,2.3,52,Granit Xhaka
Henrikh,Mkhitaryan,6,4,98,1637,26,454.9,446.4,600.0,12,354,150.2,3,0,1,4.6,66,Henrikh Mkhitaryan
Ainsley,Maitland-Niles,1,1,34,983,20,98.9,224.2,126.0,3,152,44.8,2,1,1,0.4,44,Ainsley Maitland-Niles
Alexandre,Lacazette,13,12,166,2497,31,482.4,808.0,1319.0,20,560,260.6,6,0,2,11.4,94,Alexandre Lacazette
Pierre-Emerick,Aubameyang,22,7,205,2722,42,484.6,984.4,1429.0,32,756,289.6,7,0,0,18.8,108,Pierre-Emerick Aubameyang
Lucas,Torreira,2,4,78,2377,38,301.0,440.8,203.0,6,409,94.5,5,1,7,2.6,47,Lucas Torreira
Matteo,Guendouzi,0,0,47,2140,32,312.4,323.2,130.0,0,321,76.6,3,0,9,1.6,44,Matteo Guendouzi
Asmir,Begovic,0,0,63,2160,47,0.0,440.6,0.0,4,363,44.2,5,0,0,2.7,43,Asmir Begovic
Artur,Boruc,0,0,46,1080,18,0.0,302.0,0.0,4,218,30.3,4,0,2,8.6,41,Artur Boruc
Simon,Francis,0,2,40,1227,24,173.3,332.4,39.0,0,244,54.4,4,0,1,0.2,43,Simon Francis
Steve,Cook,1,1,85,2786,56,143.3,731.0,292.0,6,549,116.5,9,0,3,4.2,43,Steve Cook
Charlie,Daniels,1,0,44,1583,34,215.4,289.8,156.0,1,278,66.2,4,0,4,3.2,41,Charlie Daniels
Adam,Smith,1,1,70,2067,33,199.8,374.0,110.0,1,383,68.5,8,1,5,0.4,43,Adam Smith
Nathan,Aké,4,1,120,3411,70,125.9,1002.0,440.0,8,716,156.8,10,0,3,6.1,51,Nathan Ake
Andrew,Surman,0,0,36,1438,37,163.0,190.8,38.0,0,206,39.2,4,0,2,0.1,46,Andrew Surman
Junior,Stanislas,2,3,56,1021,24,254.5,225.2,340.0,3,205,82.0,2,0,1,0.1,60,Junior Stanislas
Dan,Gosling,2,2,54,1734,33,164.7,400.6,217.0,0,237,78.1,4,0,8,0.1,47,Dan Gosling
Jordon,Ibe,1,1,33,789,23,174.8,131.2,155.0,0,105,46.0,1,0,1,0.2,49,Jordon Ibe
Lewis,Cook,0,0,22,719,10,50.4,76.0,36.0,0,91,16.5,3,0,2,0.1,46,Lewis Cook
Ryan,Fraser,7,14,181,3165,64,1382.4,930.6,696.0,23,751,301.2,9,0,2,23.7,64,Ryan Fraser
David,Brooks,7,6,123,2263,41,466.7,598.0,609.0,7,414,167.5,9,0,3,3.6,50,David Brooks
Callum,Wilson,14,12,168,2528,47,388.4,737.8,1137.0,22,525,225.0,9,0,3,20.3,69,Callum Wilson
Joshua,King,12,3,141,2963,57,535.7,655.4,1058.0,20,457,223.8,10,0,3,5.1,64,Joshua King
Nathaniel,Clyne,0,1,34,1250,26,100.2,199.4,72.0,0,201,36.9,3,0,2,0.6,44,Nathaniel Clyne
Diego,Rico,0,0,8,606,19,171.6,107.4,36.0,0,89,31.4,0,0,1,0.0,41,Diego Rico
Jefferson,Lerma,2,2,75,2505,49,245.8,539.6,174.0,6,410,96.2,9,0,12,0.3,45,Jefferson Lerma
Chris,Mepham,0,1,27,848,17,24.1,177.2,22.0,0,158,22.5,2,0,1,0.1,45,Chris Mepham
Mathew,Ryan,0,0,104,3060,55,0.0,707.0,0.0,11,547,70.9,6,0,2,4.9,44,Mathew Ryan
Lewis,Dunk,2,1,91,3151,56,132.9,805.8,245.0,6,573,118.7,7,1,5,3.4,44,Lewis Dunk
Shane,Duffy,5,2,115,3087,55,84.1,1024.4,499.0,9,582,160.9,7,1,4,8.1,47,Shane Duffy
Bruno,Grau,0,1,46,1131,17,102.0,181.6,14.0,7,229,29.8,4,0,2,0.3,44,Bruno Grau
Gaëtan,Bong,0,0,48,1805,34,153.3,220.0,8.0,0,254,38.0,5,0,0,0.1,44,Gaetan Bong
Leon,Balogun,1,0,15,591,10,1.1,134.0,27.0,0,86,16.2,0,0,2,0.1,42,Leon Balogun
Anthony,Knockaert,2,6,74,1828,41,580.8,389.6,345.0,2,293,131.4,3,1,4,0.5,52,Anthony Knockaert
Dale,Stephens,1,1,65,2484,46,249.3,498.2,88.0,4,404,83.6,5,1,6,3.0,43,Dale Stephens
Beram,Kayal,1,1,36,935,17,59.3,224.0,53.0,0,136,33.6,4,0,4,0.3,44,Beram Kayal
Solomon,March,1,6,94,2459,40,684.5,474.6,405.0,5,342,156.6,6,0,1,0.7,47,Solomon March
Pascal,Groß,3,3,80,1864,31,815.3,456.0,344.0,12,347,161.7,3,0,1,1.5,67,Pascal Gross
Davy,Pröpper,1,1,72,2546,45,279.1,389.2,121.0,3,351,79.2,4,0,2,0.2,48,Davy Propper
José,Mena,0,2,31,789,10,77.3,75.4,147.0,0,95,30.0,3,0,1,0.1,59,Jose Mena
Glenn,Murray,13,1,129,2501,45,190.0,478.0,835.0,16,337,148.1,4,0,5,2.8,61,Glenn Murray
Jürgen,Locadia,2,0,52,1225,21,190.8,154.4,356.0,6,155,69.7,3,0,1,0.3,53,Jurgen Locadia
Florin,Andone,3,0,38,866,14,48.6,147.2,361.0,2,74,54.9,2,0,5,0.2,50,Florin Andone
Bernardo,Junior,0,1,39,1749,29,172.6,444.2,83.0,0,290,70.0,2,0,4,0.1,42,Bernardo Junior
Yves,Bissouma,0,0,43,1764,32,213.0,253.4,201.0,0,170,66.8,3,0,5,0.0,46,Yves Bissouma
Alireza,Jahanbakhsh,0,0,33,1014,16,104.0,94.4,162.0,0,61,35.5,5,0,2,0.6,67,Alireza Jahanbakhsh
Martín,Montoya,0,1,45,2166,41,289.2,437.6,58.0,1,351,78.6,3,0,4,0.2,43,Martin Montoya
Tom,Heaton,0,0,58,1710,27,20.1,442.8,4.0,4,323,46.6,4,0,3,0.5,48,Tom Heaton
Matthew,Lowton,0,0,34,1748,41,158.6,338.0,48.0,1,269,54.6,4,0,7,0.2,46,Matthew Lowton
Ben,Mee,0,2,81,3420,68,113.8,885.4,238.0,5,572,123.9,8,0,9,1.6,46,Ben Mee
James,Tarkowski,3,2,97,3086,63,69.8,1023.2,450.0,7,524,154.5,7,0,8,4.2,47,James Tarkowski
Kevin,Long,0,1,16,513,9,11.6,147.8,8.0,0,101,16.8,1,0,0,0.3,41,Kevin Long
Charlie,Taylor,0,1,82,3240,64,268.5,649.4,30.0,2,505,94.9,7,0,2,0.5,44,Charlie Taylor
Phil,Bardsley,0,0,33,1670,27,139.6,267.8,66.0,0,224,47.4,4,0,9,0.1,42,Phil Bardsley
Johann,Gudmundsson,3,7,92,1743,39,574.1,456.2,380.0,6,339,141.1,5,0,2,1.0,55,Johann Gudmundsson
Jeff,Hendrick,2,2,73,2058,44,205.3,233.8,269.0,3,243,70.6,4,0,4,0.2,52,Jeff Hendrick
Robbie,Brady,0,1,20,714,17,194.1,102.0,85.0,0,77,38.2,1,1,3,0.0,54,Robbie Brady
Ashley,Westwood,2,8,111,2821,55,643.1,623.0,253.0,10,518,152.3,7,0,5,3.1,46,Ashley Westwood
Jack,Cork,1,2,87,3312,63,309.7,491.4,240.0,0,446,104.3,8,0,6,0.5,46,Jack Cork
Aaron,Lennon,1,1,41,1214,22,121.2,151.6,108.0,2,133,38.0,3,0,1,0.3,49,Aaron Lennon
Sam,Vokes,3,0,48,907,20,108.6,152.0,292.0,7,130,54.3,2,0,0,0.6,53,Sam Vokes
Ashley,Barnes,12,3,122,2378,41,309.9,581.2,1042.0,13,394,192.9,7,0,8,2.1,56,Ashley Barnes
Chris,Wood,10,3,131,2580,49,310.3,475.8,911.0,17,379,167.9,7,0,2,1.4,63,Chris Wood
Joe,Hart,0,0,69,1710,41,10.1,594.6,0.0,7,378,60.3,4,0,0,4.4,42,Joe Hart
Dwight,McNeil,3,4,75,1590,25,442.8,405.2,279.0,6,305,112.5,5,0,2,0.8,44,Dwight McNeil
Harry,Arter,0,1,48,1999,39,188.8,230.6,170.0,0,225,58.9,7,0,10,0.2,49,Harry Arter
Neil,Etheridge,0,0,154,3420,69,21.0,1116.8,0.0,18,775,113.6,10,0,2,10.2,46,Neil Etheridge
Sean,Morrison,1,4,97,3039,63,239.0,673.4,580.0,5,477,149.4,9,0,6,0.4,47,Sean Morrison
Sol,Bamba,4,1,95,2475,52,51.4,787.0,304.0,11,459,114.2,7,0,7,1.5,44,Sol Bamba
Bruno,Manga,0,1,97,3375,67,105.5,722.0,172.0,4,581,100.4,10,0,0,0.4,44,Bruno Manga
Joe,Bennett,0,1,77,2639,50,237.1,442.8,98.0,4,433,77.8,9,0,5,0.4,44,Joe Bennett
Lee,Peltier,0,0,43,1542,26,49.5,267.2,15.0,1,232,33.1,5,0,4,4.0,39,Lee Peltier
Joe,Ralls,0,0,45,1954,40,481.1,284.6,204.0,0,232,96.7,5,1,4,0.1,46,Joe Ralls
David,Hoilett,3,2,82,2134,46,383.4,313.2,463.0,4,230,115.3,6,0,4,0.1,50,David Hoilett
Nathaniel,Mendez-Laing,4,1,63,978,18,255.0,351.4,370.0,6,253,97.8,4,0,0,0.0,48,Nathaniel Mendez-Laing
Callum,Paterson,4,2,80,1993,41,311.9,266.8,541.0,4,227,111.7,5,0,4,0.3,48,Callum Paterson
Aron,Gunnarsson,1,1,65,2266,40,217.5,370.6,201.0,3,290,78.9,6,0,5,0.6,44,Aron Gunnarsson
Josh,Murphy,3,2,76,1810,32,267.0,285.6,550.0,3,191,109.5,7,0,2,0.2,48,Josh Murphy
Kenneth,Zohore,1,1,33,741,19,159.5,103.6,270.0,2,93,53.3,2,0,1,0.5,46,Kenneth Zohore
Bobby,Reid,5,3,80,1413,30,224.4,296.6,392.0,9,276,91.0,4,0,0,0.9,52,Bobby Reid
Oumar,Niasse,0,0,30,988,13,85.7,70.8,317.0,0,29,47.1,5,0,0,0.4,50,Oumar Niasse
Greg,Cunninghamm,0,0,9,630,17,69.7,106.4,19.0,0,72,19.6,1,0,3,0.0,41,Greg Cunninghamm
Víctor,Camarasa,5,4,106,2569,53,798.4,515.8,387.0,5,398,170.2,9,0,6,2.2,44,Victor Camarasa
Leandro,Bacuna,0,1,17,554,14,30.2,69.0,22.0,0,81,12.0,1,0,2,0.0,43,Leandro Bacuna
César,Azpilicueta,1,6,158,3402,39,525.1,815.0,286.0,11,822,163.2,16,0,4,9.6,64,Cesar Azpilicueta
Marcos,Alonso,2,8,161,2759,28,520.1,619.0,475.0,21,702,161.7,14,0,6,22.1,62,Marcos Alonso
David,Marinho,3,2,164,3238,36,358.7,859.0,363.0,19,794,158.0,16,0,3,11.7,58,David Marinho
Antonio,Rüdiger,1,2,116,2871,35,143.6,566.8,273.0,9,609,98.5,12,0,7,2.9,59,Antonio Rudiger
Andreas,Christensen,0,0,22,615,7,8.4,120.6,6.0,0,133,13.6,3,0,1,0.4,50,Andreas Christensen
Emerson,Santos,0,0,22,660,11,113.8,104.6,81.0,1,130,30.0,2,0,0,0.2,52,Emerson Santos
Eden,Hazard,16,15,238,2918,35,1471.2,1306.2,1546.0,35,879,432.7,12,0,2,27.2,110,Eden Hazard
Willian,Silva,3,7,108,2091,25,1165.5,557.6,742.0,6,475,246.7,11,0,2,3.8,71,Willian Silva
Pedro,Ledesma,8,2,112,1768,19,503.5,530.2,733.0,12,440,176.5,7,0,2,3.3,62,Pedro Ledesma
N'Golo,Kanté,4,4,116,3092,38,766.3,683.6,412.0,3,563,186.4,14,0,3,15.8,49,N'Golo Kante
Ross,Barkley,3,5,79,1231,13,349.0,324.0,429.0,5,300,110.0,7,0,1,1.3,50,Ross Barkley
Ruben,Loftus-Cheek,6,2,79,980,9,254.9,391.6,346.0,6,292,99.4,5,0,0,0.8,52,Ruben Loftus-Cheek
Olivier,Giroud,2,4,55,828,5,253.6,183.2,519.0,2,169,94.5,6,0,1,1.9,77,Olivier Giroud
Álvaro,Morata,5,0,46,936,11,130.2,219.8,523.0,3,119,86.3,6,0,3,1.3,84,Alvaro Morata
Jorge,Filho,2,0,96,3156,37,628.4,691.4,122.0,4,577,144.2,16,0,8,5.8,46,Jorge Filho
Kepa,Arrizabalaga,0,0,142,3240,39,0.1,681.0,0.0,7,685,68.0,14,0,2,4.9,54,Kepa Arrizabalaga
Mateo,Kovacic,0,2,64,1725,19,468.8,315.4,311.0,2,343,109.9,9,0,3,0.7,57,Mateo Kovacic
Gonzalo,Higuaín,5,0,53,1084,15,241.7,240.4,644.0,6,178,112.0,5,0,0,1.5,90,Gonzalo Higuain
Wayne,Hennessey,0,0,67,1575,26,0.0,358.8,0.0,6,311,35.9,5,0,0,2.4,44,Wayne Hennessey
Vicente,Guaita,0,0,81,1754,23,0.0,448.0,0.0,8,378,44.8,7,0,2,2.4,43,Vicente Guaita
James,Tomkins,1,1,86,2561,37,83.0,560.8,276.0,0,504,92.3,10,0,6,2.3,43,James Tomkins
Scott,Dann,0,1,23,661,10,22.5,186.2,71.0,0,129,28.1,2,0,1,0.1,44,Scott Dann
Martin,Kelly,0,0,26,1110,21,17.1,269.8,34.0,1,166,32.2,3,0,2,5.0,39,Martin Kelly
Jeffrey,Schlupp,4,3,91,1660,26,240.5,385.2,430.0,3,301,105.7,4,0,1,2.5,43,Jeffrey Schlupp
Patrick,Aanholt,3,2,140,3196,46,520.4,616.0,448.0,17,626,158.7,12,0,3,5.7,55,Patrick Aanholt
Mamadou,Sakho,0,0,88,2416,35,78.2,540.6,47.0,13,533,66.6,9,0,2,1.2,49,Mamadou Sakho
Aaron,Wan-Bissaka,0,3,120,3134,47,266.8,863.4,139.0,18,672,127.1,12,1,4,26.3,46,Aaron Wan-Bissaka
James,McArthur,3,7,121,3057,49,457.2,666.8,487.0,7,500,161.3,11,0,7,3.4,49,James McArthur
Andros,Townsend,6,5,135,3007,46,928.5,743.0,622.0,8,520,229.6,11,0,1,3.5,56,Andros Townsend
Luka,Milivojevic,12,2,166,3420,53,910.1,1078.2,473.0,24,741,246.3,12,0,10,10.6,65,Luka Milivojevic
Wilfried,Zaha,10,11,143,3037,49,753.3,752.8,1200.0,13,459,270.6,11,1,8,15.6,70,Wilfried Zaha
Christian,Benteke,1,1,33,807,13,118.4,106.0,348.0,3,65,56.1,3,0,1,0.5,63,Christian Benteke
Cheikhou,Kouyaté,0,3,67,1889,30,198.5,337.4,222.0,0,251,75.6,9,0,3,0.2,47,Cheikhou Kouyate
Joel,Ward,1,0,13,551,14,28.9,131.8,43.0,0,68,20.5,0,0,1,0.2,43,Joel Ward
Max,Meyer,1,3,60,1405,24,309.9,236.0,433.0,0,223,98.0,6,0,3,0.2,55,Max Meyer
Jordan,Ayew,1,3,46,1176,13,207.3,140.2,421.0,2,114,76.7,5,0,3,0.2,57,Jordan Ayew
Michy,Batshuayi,5,1,48,748,11,41.4,198.6,406.0,5,159,64.2,3,0,0,0.8,62,Michy Batshuayi
Jordan,Pickford,0,0,161,3420,46,10.0,776.4,0.0,13,706,78.5,14,0,1,13.3,49,Jordan Pickford
Seamus,Coleman,2,2,125,2558,30,387.3,515.2,274.0,12,548,117.6,13,0,1,1.6,52,Seamus Coleman
Jonjoe,Kenny,0,1,19,789,15,102.7,166.2,12.0,0,134,28.0,1,0,1,0.2,41,Jonjoe Kenny
Michael,Keane,1,2,129,2970,39,101.2,740.2,326.0,15,642,117.2,13,0,2,4.3,48,Michael Keane
Theo,Walcott,5,3,101,2108,33,342.9,420.0,699.0,4,292,145.7,6,0,1,2.5,59,Theo Walcott
Morgan,Schneiderlin,0,1,28,832,9,124.7,151.6,17.0,0,152,29.4,5,0,2,1.8,42,Morgan Schneiderlin
Idrissa,Gueye,0,2,78,2821,31,311.3,629.2,168.0,0,472,111.1,13,0,6,0.3,47,Idrissa Gueye
Tom,Davies,0,0,26,975,19,96.2,122.6,103.0,0,127,32.1,2,0,3,0.1,50,Tom Davies
Ademola,Lookman,0,3,34,600,8,172.1,131.4,211.0,0,110,51.6,1,0,0,0.1,49,Ademola Lookman
Gylfi,Sigurdsson,13,6,182,3122,41,1098.5,959.8,1084.0,20,662,314.2,15,0,3,8.3,74,Gylfi Sigurdsson
Dominic,Calvert-Lewin,6,5,92,1769,26,185.7,321.8,618.0,3,267,111.5,8,0,3,1.9,54,Dominic Calvert-Lewin
Cenk,Tosun,3,3,56,1044,17,172.2,212.6,546.0,3,166,92.8,1,0,3,1.5,64,Cenk Tosun
Richarlison,Andrade,13,3,153,2662,36,350.7,698.4,1209.0,12,400,224.5,11,1,5,13.3,64,Richarlison Andrade
Lucas,Digne,4,5,158,2964,38,1142.0,883.0,300.0,22,736,232.7,13,1,5,10.2,54,Lucas Digne
Yerry,Mina,1,0,36,891,13,37.5,198.2,61.0,2,176,29.6,3,0,3,0.5,54,Yerry Mina
Bernard,Duarte,1,4,88,2108,19,589.6,366.0,377.0,5,319,133.3,13,0,5,0.3,59,Bernard Duarte
André,Gomes,1,2,64,1977,28,154.6,268.4,207.0,2,268,63.1,9,0,7,0.2,54,Andre Gomes
Kurt,Zouma,2,2,112,2613,39,83.7,565.2,235.0,12,543,88.8,10,1,3,1.0,50,Kurt Zouma
Calum,Chambers,2,0,60,2586,52,231.9,609.0,401.0,0,431,124.5,5,0,9,1.1,42,Calum Chambers
Marcus,Bettinelli,0,0,15,630,20,0.0,195.0,0.0,0,114,19.4,0,0,1,0.3,42,Marcus Bettinelli
Tim,Ream,0,0,50,2046,49,46.3,331.6,3.0,4,349,38.3,5,0,1,0.3,42,Tim Ream
Denis,Odoi,0,1,44,2593,62,164.2,575.2,93.0,2,427,83.5,3,0,4,0.1,44,Denis Odoi
Tom,Cairney,1,1,71,2188,51,586.7,358.0,199.0,3,389,114.5,5,0,0,0.5,46,Tom Cairney
Kevin,McDonald,0,0,17,837,27,71.9,99.6,15.0,0,123,18.7,0,1,4,0.2,42,Kevin McDonald
Ryan,Sessegnon,2,7,94,2291,60,468.3,410.4,438.0,3,295,132.0,3,0,0,1.9,60,Ryan Sessegnon
Aboubakar,Kamara,3,0,28,688,17,149.5,150.0,244.0,2,82,53.1,1,0,2,5.1,45,Aboubakar Kamara
Maxime,Marchand,0,1,38,2250,53,131.7,577.8,99.0,1,409,81.2,3,0,5,0.2,42,Maxime Marchand
Jean,Seri,1,3,72,2239,54,849.4,460.2,164.0,6,422,147.5,3,0,6,1.3,49,Jean Seri
Cyrus,Christie,0,1,42,1941,42,293.1,423.2,107.0,2,278,82.2,3,0,7,0.2,42,Cyrus Christie
André,Schürrle,6,0,75,1638,43,310.6,361.8,474.0,2,260,114.0,2,0,2,2.1,55,Andre Schurrle
Aleksandar,Mitrovic,11,4,134,3280,78,499.5,638.8,1593.0,12,350,273.4,5,0,7,10.8,63,Aleksandar Mitrovic
Alfie,Mawson,0,0,19,1130,26,23.2,259.2,31.0,2,174,31.3,1,0,2,0.1,47,Alfie Mawson
Sergio,Rico,0,0,86,2610,56,20.3,851.4,0.0,8,519,87.1,5,0,1,0.7,44,Sergio Rico
